location,bath,balcony,price,total_sqft_int,bhk,price_per_sqft
2nd Phase Judicial Layout,2,2,41,900,2,4555.555556
2nd Phase Judicial Layout,3,3,69,1681,3,4104.699584
2nd Phase Judicial Layout,2,2,47.25,1350,3,3500
2nd Phase Judicial Layout,2,1,40.25,1150,2,3500
2nd Stage Nagarbhavi,4,2,220,1500,4,14666.66667
2nd Stage Nagarbhavi,3,2,230,1500,4,15333.33333
3rd Block Banashankari,4,1,325,2400,5,13541.66667
3rd Block Hrbr Layout,2,1,80,1056,2,7575.757576
3rd Block Hrbr Layout,2,3,90,1320,2,6818.181818
3rd Block Hrbr Layout,2,3,95,1300,2,7307.692308
3rd Block Hrbr Layout,3,2,140,1650,3,8484.848485
3rd Block Jayanagar,3,3,240,2150,3,11162.7907
3rd Block Koramangala,3,1,270,2100,3,12857.14286
3rd Phase JP Nagar,4,3,345,4500,4,7666.666667
4th Block Jayanagar,3,2,240,2005,3,11970.07481
4th Block Jayanagar,2,0,190,1567.2,3,12123.53241
4th Block Koramangala,2,2,150,1225,2,12244.89796
4th Block Koramangala,9,1.584375738,500,4500,9,11111.11111
4th Block Koramangala,3,3,140,1800,3,7777.777778
4th Block Koramangala,2,2,97,1269,2,7643.814027
4th Phase JP Nagar,2,2,38.9,1070,2,3635.514019
4th Phase JP Nagar,2,2,38,1080,2,3518.518519
4th T block Jayanagar,3,2,185,2401,3,7705.122865
4th T block Jayanagar,4,1.584375738,333,3900,4,8538.461538
4th T block Jayanagar,4,1,120,1550,4,7741.935484
4th T block Jayanagar,3,3,220,2100,3,10476.19048
4th T block Jayanagar,3,2,185,2400,3,7708.333333
5th Block Hbr Layout,2,2,56,1206,2,4643.44942
5th Block Hbr Layout,2,2,70,1270,3,5511.811024
5th Block Hbr Layout,2,3,69,1312,2,5259.146341
5th Block Hbr Layout,2,2,48,1100,2,4363.636364
5th Phase JP Nagar,2,2,60,1075,2,5581.395349
5th Phase JP Nagar,3,3,52.5,1150,2,4565.217391
5th Phase JP Nagar,2,1,62.8,1256,2,5000
5th Phase JP Nagar,2,2,63,1207,2,5219.55261
5th Phase JP Nagar,2,2,100,1725,3,5797.101449
5th Phase JP Nagar,2,2,60,1440,2,4166.666667
5th Phase JP Nagar,2,3,100,1700,3,5882.352941
5th Phase JP Nagar,5,1.584375738,110,2500,5,4400
5th Phase JP Nagar,1,1,30,600,1,5000
5th Phase JP Nagar,2,2,65,1390,2,4676.258993
5th Phase JP Nagar,2,1,62.8,1256,2,5000
5th Phase JP Nagar,2,0,48,1000,2,4800
5th Phase JP Nagar,2,1,75,1350,3,5555.555556
5th Phase JP Nagar,1,1,23.5,552,1,4257.246377
5th Phase JP Nagar,2,2,51,1200,2,4250
5th Phase JP Nagar,2,2,57,1030,2,5533.980583
5th Phase JP Nagar,2,1,68,1200,2,5666.666667
5th Phase JP Nagar,2,2,61.8,1190,2,5193.277311
5th Phase JP Nagar,5,2,170,4000,5,4250
5th Phase JP Nagar,2,1,53,1080,2,4907.407407
5th Phase JP Nagar,2,2,54,1041,2,5187.319885
5th Phase JP Nagar,2,1,42,812,2,5172.413793
5th Phase JP Nagar,2,2,57,1010,2,5643.564356
5th Phase JP Nagar,2,2,60,1075,2,5581.395349
6th Phase JP Nagar,2,2,74,1192,2,6208.053691
6th Phase JP Nagar,2,3,80,1180,2,6779.661017
6th Phase JP Nagar,4,1.584375738,250,3245,4,7704.160247
6th Phase JP Nagar,3,3,100,1645,3,6079.027356
6th Phase JP Nagar,2,2,65,1140,2,5701.754386
6th Phase JP Nagar,3,1.584375738,200,2040,3,9803.921569
6th Phase JP Nagar,2,1,63,1213,2,5193.734542
6th Phase JP Nagar,2,2,60,1216,2,4934.210526
6th Phase JP Nagar,2,1.584375738,80,1460,2,5479.452055
6th Phase JP Nagar,3,3,200,2003,3,9985.022466
6th Phase JP Nagar,3,3,131,1810,3,7237.569061
6th Phase JP Nagar,2,2,135,1515,3,8910.891089
6th Phase JP Nagar,2,3,75,1192,2,6291.946309
6th Phase JP Nagar,2,1,88,1280,2,6875
6th block Koramangala,2,1,110,1117,2,9847.806625
6th block Koramangala,3,2,400,3000,3,13333.33333
7th Block Jayanagar,3,1,528,3000,5,17600
7th Block Jayanagar,3,0,408,2400,3,17000
7th Block Jayanagar,2,1,293,1903,3,15396.74199
7th Phase JP Nagar,2,2,72,1080,2,6666.666667
7th Phase JP Nagar,2,2,93,1270,2,7322.834646
7th Phase JP Nagar,2,1,100,1420,3,7042.253521
7th Phase JP Nagar,3,1,150,1850,3,8108.108108
7th Phase JP Nagar,2,1,94,1245,2,7550.200803
7th Phase JP Nagar,2,1,82,1175,2,6978.723404
7th Phase JP Nagar,2,1,95,1400,3,6785.714286
7th Phase JP Nagar,3,1,160,2225,3,7191.011236
7th Phase JP Nagar,2,1,71,1050,2,6761.904762
7th Phase JP Nagar,2,0,46,1100,2,4181.818182
7th Phase JP Nagar,2,1,50.49,918,2,5500
7th Phase JP Nagar,2,1,100,1450,3,6896.551724
7th Phase JP Nagar,2,1,49.98,1190,2,4200
7th Phase JP Nagar,2,2,96,1420,3,6760.56338
7th Phase JP Nagar,3,2,120,1680,3,7142.857143
7th Phase JP Nagar,2,2,69,980,2,7040.816327
7th Phase JP Nagar,2,2,72,1180,2,6101.694915
7th Phase JP Nagar,3,1,115,1400,3,8214.285714
7th Phase JP Nagar,2,1,83,1270,2,6535.433071
7th Phase JP Nagar,4,0,188,2503,4,7510.986816
7th Phase JP Nagar,3,2,190,2200,3,8636.363636
7th Phase JP Nagar,2,2,110,1575,3,6984.126984
7th Phase JP Nagar,3,2,140,1850,3,7567.567568
7th Phase JP Nagar,2,2,120,1575,3,7619.047619
7th Phase JP Nagar,3,2,150,1850,3,8108.108108
7th Phase JP Nagar,3,2,120,1680,3,7142.857143
7th Phase JP Nagar,2,2,82.5,1175,2,7021.276596
7th Phase JP Nagar,2,2,90,1215,2,7407.407407
7th Phase JP Nagar,2,1,75,1050,2,7142.857143
7th Phase JP Nagar,3,2,89.13,1300,3,6856.153846
7th Phase JP Nagar,2,2,73,1130,2,6460.176991
7th Phase JP Nagar,3,2,100,1450,3,6896.551724
7th Phase JP Nagar,2,1,50,1050,2,4761.904762
7th Phase JP Nagar,2,1,87,1275,2,6823.529412
7th Phase JP Nagar,3,2,110,1650,3,6666.666667
7th Phase JP Nagar,2,2,42,850,2,4941.176471
7th Phase JP Nagar,3,2,117,1680,3,6964.285714
7th Phase JP Nagar,3,1,150,1850,3,8108.108108
7th Phase JP Nagar,2,2,61.33,1236,2,4961.97411
7th Phase JP Nagar,2,2,53,1000,2,5300
7th Phase JP Nagar,3,2,125,1680,3,7440.47619
7th Phase JP Nagar,2,2,135,1675,3,8059.701493
7th Phase JP Nagar,2,1,59,1187,2,4970.513901
7th Phase JP Nagar,3,2,155,1850,3,8378.378378
7th Phase JP Nagar,2,1,61,1000,2,6100
7th Phase JP Nagar,2,2,100,1460,3,6849.315068
7th Phase JP Nagar,3,3,110,1650,3,6666.666667
7th Phase JP Nagar,2,2,62.5,1200,2,5208.333333
7th Phase JP Nagar,2,1,70.65,1000,2,7065
7th Phase JP Nagar,2,2,75,1080,2,6944.444444
7th Phase JP Nagar,3,3,125,1680,3,7440.47619
7th Phase JP Nagar,2,1,97,1460,3,6643.835616
7th Phase JP Nagar,2,2,65,1120,2,5803.571429
7th Phase JP Nagar,3,1,60,1100,2,5454.545455
7th Phase JP Nagar,3,3,120,1790,3,6703.910615
7th Phase JP Nagar,3,2,117,1680,3,6964.285714
7th Phase JP Nagar,2,1,77,1050,2,7333.333333
7th Phase JP Nagar,2,1,75,1050,2,7142.857143
7th Phase JP Nagar,2,1,75,1040,2,7211.538462
7th Phase JP Nagar,2,1,95,1400,3,6785.714286
7th Phase JP Nagar,3,2,130,1800,3,7222.222222
7th Phase JP Nagar,2,0,68,1050,2,6476.190476
7th Phase JP Nagar,2,2,60,1000,2,6000
7th Phase JP Nagar,3,2,125,1680,3,7440.47619
7th Phase JP Nagar,2,1,77.47,1050,2,7378.095238
7th Phase JP Nagar,2,1,80,1270,2,6299.212598
7th Phase JP Nagar,3,2,122,1680,3,7261.904762
7th Phase JP Nagar,2,2,85,1130,2,7522.123894
7th Phase JP Nagar,3,3,130,1680,3,7738.095238
7th Phase JP Nagar,2,1,77.44,980,2,7902.040816
7th Phase JP Nagar,3,2,112,1680,3,6666.666667
7th Phase JP Nagar,3,2,150,2095,3,7159.904535
7th Phase JP Nagar,3,1,145,1976,3,7338.05668
7th Phase JP Nagar,2,2,110,1600,3,6875
7th Phase JP Nagar,3,2,118,1765,3,6685.552408
7th Phase JP Nagar,2,2,88,1275,3,6901.960784
7th Phase JP Nagar,2,1,102,1450,3,7034.482759
7th Phase JP Nagar,2,2,110,1575,3,6984.126984
7th Phase JP Nagar,1,2,47,750,1,6266.666667
7th Phase JP Nagar,2,2,50,990,2,5050.505051
7th Phase JP Nagar,1,1,60,1000,1,6000
7th Phase JP Nagar,2,1,102,1430,3,7132.867133
7th Phase JP Nagar,2,1,60,1128,2,5319.148936
7th Phase JP Nagar,2,1,57,1140,2,5000
7th Phase JP Nagar,3,2,90,1420,3,6338.028169
7th Phase JP Nagar,2,1,108,1530,2,7058.823529
8th Block Jayanagar,2,2,110,1100,2,10000
8th Phase JP Nagar,2,0,54.005,1073.5,2,5030.740568
8th Phase JP Nagar,2,1,42.47,1062,2,3999.05838
8th Phase JP Nagar,3,2,73.31,1455,3,5038.487973
8th Phase JP Nagar,2,1,43.91,1098,2,3999.089253
8th Phase JP Nagar,3,1,80,1800,3,4444.444444
8th Phase JP Nagar,4,2,130,2700,4,4814.814815
8th Phase JP Nagar,2,2,38,1080,2,3518.518519
8th Phase JP Nagar,2,2,34.5,1059,2,3257.790368
8th Phase JP Nagar,2,2,35,1080,2,3240.740741
8th Phase JP Nagar,2,1,42.47,1062,2,3999.05838
8th Phase JP Nagar,1,1,31,500,1,6200
8th Phase JP Nagar,2,2,35,1100,2,3181.818182
8th Phase JP Nagar,4,3,92,2100,4,4380.952381
8th Phase JP Nagar,2,1,39.33,1035,2,3800
8th Phase JP Nagar,2,1,40.9,909,2,4499.449945
8th Phase JP Nagar,3,0,72.02,1431.5,3,5031.086273
8th Phase JP Nagar,4,1,90,1900,3,4736.842105
8th Phase JP Nagar,1,1,30,500,1,6000
8th Phase JP Nagar,2,2,36.94,1125,2,3283.555556
8th Phase JP Nagar,2,3,35,1100,2,3181.818182
8th Phase JP Nagar,2,1,43.55,1089,2,3999.081726
8th Phase JP Nagar,2,2,65,1605,3,4049.844237
8th Phase JP Nagar,2,2,83,1504,3,5518.617021
8th Phase JP Nagar,4,2,115,2600,4,4423.076923
8th Phase JP Nagar,2,1,43.55,1089,2,3999.081726
8th Phase JP Nagar,2,3,62,1513,2,4097.818903
8th Phase JP Nagar,2,1,59,1298,2,4545.454545
8th Phase JP Nagar,2,0,44,1006,2,4373.757455
8th Phase JP Nagar,2,1,59,1245,2,4738.955823
8th Phase JP Nagar,2,3,80,1510,2,5298.013245
8th Phase JP Nagar,3,2,165,3300,3,5000
8th Phase JP Nagar,2,1,48,1046,2,4588.910134
8th Phase JP Nagar,3,2,80,1408,3,5681.818182
8th block Koramangala,3,2,300,1846,3,16251.35428
8th block Koramangala,1,0,233,1410,2,16524.8227
8th block Koramangala,2,1,135,1165,2,11587.98283
8th block Koramangala,3,2,290,2400,3,12083.33333
9th Block Jayanagar,1,0,150,700,1,21428.57143
9th Block Jayanagar,4,1,240,1440,4,16666.66667
9th Phase JP Nagar,2,1,50,1005,2,4975.124378
9th Phase JP Nagar,2,1,45,1035,2,4347.826087
9th Phase JP Nagar,4,3,290,5000,4,5800
9th Phase JP Nagar,2,1,56,1164,2,4810.996564
9th Phase JP Nagar,2,1,42,1005,2,4179.104478
9th Phase JP Nagar,2,1,50,1127,2,4436.557232
9th Phase JP Nagar,2,1,43,1005,2,4278.606965
9th Phase JP Nagar,2,0,37,835,2,4431.137725
9th Phase JP Nagar,2,2,39,1050,2,3714.285714
9th Phase JP Nagar,2,2,71,1466,2,4843.110505
9th Phase JP Nagar,2,1.584375738,93,1890,3,4920.634921
9th Phase JP Nagar,2,1,60,1079,2,5560.704356
9th Phase JP Nagar,2,1,80,1480,2,5405.405405
9th Phase JP Nagar,2,1,52.36,1073,2,4879.776328
9th Phase JP Nagar,2,2,88,1719.3,3,5118.362124
9th Phase JP Nagar,3,2,88,1780,3,4943.820225
9th Phase JP Nagar,2,2,45,890,2,5056.179775
9th Phase JP Nagar,2,2,69,1331.95,2,5180.374639
A Narayanapura,2,1,35,600,1,5833.333333
A Narayanapura,2,0,85,1500,1,5666.666667
AECS Layout,2,3,45,1100,2,4090.909091
AECS Layout,2,1,42,1028,2,4085.603113
AECS Layout,2,2,65,1199,2,5421.18432
AECS Layout,2,2,55,1080,2,5092.592593
AECS Layout,2,2,64,1123,2,5699.020481
AECS Layout,2,1,60,1308,2,4587.155963
AECS Layout,2,1,55,1005,2,5472.636816
AGS Layout,2,2,85,1450,3,5862.068966
AGS Layout,2,1,46.79,1040,2,4499.038462
AGS Layout,3,0,110,1936,3,5681.818182
AGS Layout,2,1,48.38,1075,2,4500.465116
AMS Layout,2,2,80,1650,3,4848.484848
Abbaiah Reddy Layout,2,3,50,1310,3,3816.793893
Abbaiah Reddy Layout,2,1,38.45,1100,2,3495.454545
Abbaiah Reddy Layout,2,1,38.49,1100,2,3499.090909
Abbaiah Reddy Layout,2,2,41,1190,2,3445.378151
Abbaiah Reddy Layout,2,2,38.5,1100,2,3500
Abbigere,2,1,40.39,985,2,4100.507614
Abbigere,2,2,30,765,1,3921.568627
Abbigere,2,1,35,880,2,3977.272727
Abbigere,2,1,32.54,795,2,4093.081761
Abbigere,2,1,39.59,1005,2,3939.303483
Abbigere,2,1,41.82,1020,2,4100
Abbigere,2,1,40.39,985,2,4100.507614
Abbigere,6,0,81,2500,6,3240
Abbigere,2,1,32.54,795,2,4093.081761
Abbigere,2,1,46.33,1130,2,4100
Abbigere,1,1,32.6,795,2,4100.628931
Abbigere,2,1,38.92,985,2,3951.269036
Abbigere,2,1,41,1000,2,4100
Abbigere,2,1,40.8,995,2,4100.502513
Abbigere,2,1,40.8,1020,2,4000
Agrahara Dasarahalli,1,0,72,800,1,9000
Agrahara Dasarahalli,1,0,120,1350,3,8888.888889
Aishwarya Crystal Layout,3,1,113,2250,3,5022.222222
Aishwarya Crystal Layout,2,0,51,1053,2,4843.304843
Akshaya Nagar,2,3,57,1388,2,4106.628242
Akshaya Nagar,2,1,54,1070,2,5046.728972
Akshaya Nagar,2,1.584375738,58,1280,2,4531.25
Akshaya Nagar,3,3,85.1,1662,3,5120.336943
Akshaya Nagar,3,2,120,1897,3,6325.777543
Akshaya Nagar,2,2,75,1410,3,5319.148936
Akshaya Nagar,2,2,85,1360,3,6250
Akshaya Nagar,2,2,80,1410,3,5673.758865
Akshaya Nagar,3,2,85,1662,3,5114.320096
Akshaya Nagar,3,2,85.5,1662,3,5144.404332
Akshaya Nagar,2,1,60,1280,2,4687.5
Akshaya Nagar,3,1.584375738,95,1666,3,5702.280912
Akshaya Nagar,3,1.584375738,90,1575,3,5714.285714
Akshaya Nagar,2,2,75,1430,3,5244.755245
Akshaya Nagar,2,3,73,1419,3,5144.467935
Akshaya Nagar,2,1,60,1280,2,4687.5
Akshaya Nagar,2,1,50,1200,2,4166.666667
Akshaya Nagar,2,1,60,1092,2,5494.505495
Akshaya Nagar,3,2,85,1690,3,5029.585799
Akshaya Nagar,4,2,93,1897,3,4902.477596
Akshaya Nagar,3,3,98,1884,3,5201.698514
Akshaya Nagar,2,2,68.8,1314,2,5235.920852
Akshaya Nagar,3,2,85,1690,3,5029.585799
Akshaya Nagar,2,3,67,1265,2,5296.442688
Akshaya Nagar,2,1,55,1126,2,4884.547069
Akshaya Nagar,3,1.584375738,90,1662,3,5415.162455
Akshaya Nagar,2,2,75,1420,3,5281.690141
Akshaya Nagar,2,3,88,1412,3,6232.294618
Akshaya Nagar,3,3,84,1434,3,5857.740586
Akshaya Nagar,4,2,100,1890,3,5291.005291
Akshaya Nagar,2,3,87,1419,3,6131.078224
Akshaya Nagar,2,1,54,1300,2,4153.846154
Akshaya Nagar,3,2,85,1690,3,5029.585799
Akshaya Nagar,2,1,52,1113,2,4672.057502
Akshaya Nagar,4,2,95,1820,3,5219.78022
Akshaya Nagar,2,2,48,1100,2,4363.636364
Akshaya Nagar,3,2,102,1896,3,5379.746835
Akshaya Nagar,2,2,66,1300,2,5076.923077
Akshaya Nagar,2,0,68,1225,2,5551.020408
Akshaya Nagar,2,1,51,1179,2,4325.699746
Akshaya Nagar,2,2,73,1421,3,5137.227305
Akshaya Nagar,4,2,95,1893,3,5018.489171
Akshaya Nagar,2,1,45,900,2,5000
Akshaya Vana,4,3,170,4000,4,4250
Akshaya Vana,2,1,49,1300,3,3769.230769
Akshaya Vana,2,2,49,1280,3,3828.125
Akshaya Vana,2,1,49,1260,3,3888.888889
Akshaya Vana,2,2,52,1427,2,3644.008409
Akshayanagara East,3,2,108,1693,3,6379.208506
Akshayanagara East,2,1,76,1210,2,6280.991736
Akshayanagara East,3,2,67.23,1519,3,4425.938117
Akshayanagara East,3,2,70.39,1595,3,4413.166144
Akshayanagara East,2,1,50,1230,2,4065.04065
Akshayanagara East,1,1,40,595,1,6722.689076
Akshayanagara East,2,2,44,1145,2,3842.79476
Akshya Nagar,6,0,130,2400,6,5416.666667
Akshya Nagar,2,1,75,1380,2,5434.782609
Akshya Nagar,2,1,58,1320,3,4393.939394
Alfa Garden Layout,2,1.584375738,43.79,1240,2,3531.451613
Alfa Garden Layout,2,2,38,1050,2,3619.047619
Alfa Garden Layout,2,2,46.41,1190,2,3900
Alur,1,1,20,530,1,3773.584906
Alur,1,1,15,425,1,3529.411765
Amarjyothi Colony,3,1,61,1355,3,4501.845018
Ambalipura,2,1,75,1105,2,6787.330317
Ambalipura,3,3,110,1800,3,6111.111111
Ambalipura,2,2,80,1150,2,6956.521739
Ambalipura,2,2,66.25,1250,2,5300
Ambalipura,2,1,79,1332,2,5930.930931
Ambalipura,3,1,120,1730,3,6936.416185
Ambalipura,2,2,66.25,1230,2,5386.178862
Ambalipura,2,1,77,1351,2,5699.481865
Ambalipura,2,2,80,1303,2,6139.677667
Ambalipura,2,2,112,1607,3,6969.508401
Ambalipura,1,2,43.82,770,1,5690.909091
Ambalipura,2,2,76,1700,2,4470.588235
Ambalipura,2,1,58.5,1060,2,5518.867925
Ambalipura,3,3,100,1650,3,6060.606061
Ambalipura,2,2,112,1607,3,6969.508401
Ambalipura,2,2,80,1198,2,6677.796327
Ambedkar Colony,2,1,140,1468,2,9536.784741
Ambedkar Colony,1,1,142,1463,2,9706.08339
Ambedkar Colony,3,1,190,1910,3,9947.643979
Ambedkar Colony,2,1,145,1464,2,9904.371585
Ambedkar Nagar,4,2,130,1935,3,6718.346253
Ambedkar Nagar,2,2,90,1424,2,6320.224719
Ambedkar Nagar,4,2,169,2225,3,7595.505618
Ambedkar Nagar,3,2,120,1862,3,6444.683136
Ambedkar Nagar,4,3,139,1850,3,7513.513514
Ambedkar Nagar,4,2,126,1936,3,6508.264463
Ambedkar Nagar,3,2,119,1862,3,6390.977444
Ambedkar Nagar,2,2,90,1424,2,6320.224719
Ambedkar Nagar,4,2,125,2150,3,5813.953488
Ambedkar Nagar,4,2,290,3530,4,8215.29745
Ambedkar Nagar,3,1,120,1856,3,6465.517241
Ambedkar Nagar,3,2,130,1852,3,7019.438445
Ambedkar Nagar,4,2,120,1850,3,6486.486486
Ambedkar Nagar,2,2,86,1367,2,6291.1485
Ambedkar Nagar,4,3,255,3565,4,7152.875175
Ambedkar Nagar,2,2,95,1409,2,6742.370476
Ambedkar Nagar,4,2,120,1950,3,6153.846154
Ambedkar Nagar,4,3,129,1921,3,6715.252473
Ambedkar Nagar,4,2,121,1920,3,6302.083333
Ambedkar Nagar,4,2,125,1935,3,6459.94832
Ambedkar Nagar,4,2,122,1852,3,6587.473002
Ambedkar Nagar,4,2,120,1950,3,6153.846154
Ambedkar Nagar,3,2,125,1852,3,6749.460043
Ambedkar Nagar,4,2,121,1850,3,6540.540541
Ambedkar Nagar,2,1,94,1425,2,6596.491228
Ambedkar Nagar,4,2,150,2395,3,6263.048017
Amblipura,3,2,100,1605,3,6230.529595
Amblipura,2,1,80,1300,3,6153.846154
Amblipura,2,2,83,1175,2,7063.829787
Amruthahalli,2,1,40,900,2,4444.444444
Amruthahalli,2,2,55,1200,2,4583.333333
Amruthahalli,3,1,135,1900,3,7105.263158
Amruthahalli,2,1,45,924,2,4870.12987
Amruthahalli,2,1,60,900,2,6666.666667
Amruthahalli,2,1,45,1100,2,4090.909091
Amruthahalli,2,1,55,1200,2,4583.333333
Amruthahalli,2,1,85,1450,3,5862.068966
Amruthahalli,2,2,55,1200,2,4583.333333
Amruthahalli,2,2,79,1250,2,6320
Amruthahalli,2,2,50,1190,2,4201.680672
Amruthahalli,2,1,65,1202,2,5407.65391
Amruthahalli,2,1,75,1340,2,5597.014925
Amruthahalli,4,0,175,2650,3,6603.773585
Amruthahalli,2,1,90,1450,3,6206.896552
Amruthahalli,2,1,42,1025,2,4097.560976
Amruthahalli,1,1,19.5,485,1,4020.618557
Amruthnagar,2,1,67.5,1350,2,5000
Amruthnagar,3,2,60,1365,2,4395.604396
Amruthnagar,2,1,51,1000,2,5100
Anand Nagar,2,2,55,1060,2,5188.679245
Anand Nagar,2,3,55,1135,2,4845.814978
Anand Nagar,3,1,420,3515,3,11948.7909
Anand Nagar,2,2,75,1080,3,6944.444444
Anand nagar,2,0,70,1200,2,5833.333333
Anand nagar,3,3,125,2010,3,6218.905473
Anandapura,2,1,43.76,1167,2,3749.785775
Anandapura,2,1,55,1000,2,5500
Anandapura,2,1,42.79,1141,2,3750.219106
Anandapura,2,1,58,1200,2,4833.333333
Anandapura,2,1,43.1,1151,2,3744.569939
Anandapura,2,1,42.75,1141,2,3746.713409
Anandapura,2,0,48,900,2,5333.333333
Anandapura,4,0,90,1749,4,5145.797599
Anandapura,2,1,42.9,1151,2,3727.193745
Anandapura,2,2,45,1250,2,3600
Anandapura,2,1,43.16,1151,2,3749.782798
Anandapura,2,0,58,1200,2,4833.333333
Anandapura,2,0,66,1200,3,5500
Anandapura,2,1,74,1415,3,5229.681979
Anandapura,2,1,50,1200,2,4166.666667
Anandapura,2,1,50,1141,2,4382.120947
Anantapura,2,2,37,1200,2,3083.333333
Anantapura,3,2,77,1600,3,4812.5
Ananth Nagar,1,1,14,500,1,2800
Ananth Nagar,2,2,31.5,1100,2,2863.636364
Ananth Nagar,2,2,24.55,982,2,2500
Ananth Nagar,2,2,14,500,1,2800
Ananth Nagar,2,2,22.5,900,2,2500
Ananth Nagar,2,1,26,908,2,2863.436123
Ananth Nagar,2,1,35,937,2,3735.325507
Ananth Nagar,2,3,37,960,2,3854.166667
Ananth Nagar,1,1,14,500,1,2800
Ananth Nagar,2,1,29.7,1000,2,2970
Ananth Nagar,2,1,25.99,850,2,3057.647059
Ananth Nagar,2,1,25.26,902,2,2800.443459
Ananth Nagar,3,2,54,1470,3,3673.469388
Ananth Nagar,2,1,25.5,810,2,3148.148148
Ananth Nagar,2,1,27,890,2,3033.707865
Ananth Nagar,2,1,36,1200,2,3000
Ananth Nagar,3,1,42,1319,3,3184.230478
Ananth Nagar,2,3,25,1000,2,2500
Ananth Nagar,2,2,25,902,2,2771.618625
Ananth Nagar,2,1,25.99,930,2,2794.623656
Ananth Nagar,2,2,26.85,1074,2,2500
Ananth Nagar,1,1,14,500,1,2800
Ananth Nagar,2,2,38,1010,2,3762.376238
Ananth Nagar,2,2,24.8,992,2,2500
Anekal,1,1,36,1200,2,3000
Anekal,1,1,16.5,600,1,2750
