location,bath,balcony,price,total_sqft_int,bhk,price_per_sqft
1st Block Koramangala,3.0,2.0,210.0,2350.0,3,8936.170212765957
1st Block Koramangala,2.0,2.0,45.0,1000.0,2,4500.0
1st Block Koramangala,5.0,3.0,500.0,3000.0,4,16666.666666666668
1st Phase JP Nagar,3.0,1.0,167.0,1875.0,3,8906.666666666666
1st Phase JP Nagar,4.0,1.0,210.0,2065.0,3,10169.49152542373
1st Phase JP Nagar,3.0,2.0,225.0,2059.0,3,10927.634774162214
1st Phase JP Nagar,2.0,1.0,100.0,1394.0,2,7173.601147776184
1st Phase JP Nagar,2.0,2.0,93.0,1077.0,2,8635.097493036212
1st Phase JP Nagar,2.0,0.0,180.0,1566.0,2,11494.252873563219
1st Phase JP Nagar,2.0,2.0,50.0,840.0,1,5952.380952380952
1st Phase JP Nagar,3.0,3.0,131.0,1590.0,3,8238.993710691824
1st Phase JP Nagar,3.0,2.0,210.0,2180.0,3,9633.02752293578
1st Phase JP Nagar,2.0,2.0,88.5,1180.0,2,7500.0
1st Phase JP Nagar,2.0,1.5843757375501535,86.0,1200.0,2,7166.666666666667
1st Phase JP Nagar,2.0,2.0,85.0,1394.0,2,6097.5609756097565
1st Phase JP Nagar,3.0,3.0,175.0,2077.0,3,8425.613866153106
1st Phase JP Nagar,2.0,1.0,85.0,1205.0,2,7053.941908713693
1st Phase JP Nagar,2.0,1.0,75.0,900.0,2,8333.333333333334
1st Stage Indira Nagar,2.0,1.0,67.0,1400.0,2,4785.714285714285
1st Stage Indira Nagar,2.0,2.0,55.0,1200.0,2,4583.333333333333
1st Stage Indira Nagar,2.0,1.0,56.0,940.0,2,5957.446808510638
1st Stage Indira Nagar,4.0,2.0,301.0,3000.0,4,10033.333333333334
2nd Block Hrbr Layout,3.0,2.0,90.0,1480.0,3,6081.081081081081
2nd Block Hrbr Layout,3.0,2.0,90.0,1480.0,3,6081.081081081081
2nd Block Hrbr Layout,3.0,3.0,110.0,1550.0,3,7096.774193548387
2nd Block Jayanagar,3.0,3.0,223.0,1718.0,3,12980.209545983702
2nd Block Jayanagar,2.0,1.0,97.0,1000.0,2,9700.0
2nd Phase JP Nagar,4.0,2.0,200.0,2800.0,5,7142.857142857143
2nd Phase JP Nagar,1.0,1.0,55.0,1000.0,2,5500.0
2nd Phase JP Nagar,2.0,2.0,78.0,1040.0,2,7500.0
2nd Phase JP Nagar,2.0,1.0,42.5,850.0,2,5000.0
2nd Phase Judicial Layout,2.0,1.0,50.75,1450.0,3,3500.0
2nd Phase Judicial Layout,2.0,1.0,40.25,1150.0,2,3500.0
2nd Phase Judicial Layout,2.0,2.0,47.25,1350.0,3,3500.0
2nd Phase Judicial Layout,2.0,2.0,47.25,1350.0,3,3500.0
2nd Phase Judicial Layout,2.0,2.0,41.0,900.0,2,4555.555555555556
2nd Phase Judicial Layout,3.0,3.0,69.0,1681.0,3,4104.699583581201
2nd Phase Judicial Layout,2.0,2.0,47.25,1350.0,3,3500.0
2nd Phase Judicial Layout,2.0,1.0,40.25,1150.0,2,3500.0
2nd Stage Nagarbhavi,4.0,2.0,220.0,1500.0,4,14666.666666666666
2nd Stage Nagarbhavi,3.0,2.0,230.0,1500.0,4,15333.333333333334
3rd Block Banashankari,4.0,1.0,325.0,2400.0,5,13541.666666666666
3rd Block Hrbr Layout,2.0,1.0,80.0,1056.0,2,7575.757575757576
3rd Block Hrbr Layout,2.0,3.0,90.0,1320.0,2,6818.181818181818
3rd Block Hrbr Layout,2.0,3.0,95.0,1300.0,2,7307.692307692308
3rd Block Hrbr Layout,3.0,2.0,140.0,1650.0,3,8484.848484848484
3rd Block Jayanagar,3.0,3.0,240.0,2150.0,3,11162.790697674418
3rd Block Koramangala,3.0,1.0,270.0,2100.0,3,12857.142857142857
3rd Phase JP Nagar,4.0,3.0,345.0,4500.0,4,7666.666666666667
4th Block Jayanagar,3.0,2.0,240.0,2005.0,3,11970.074812967581
4th Block Jayanagar,2.0,0.0,190.0,1567.2,3,12123.532414497193
4th Block Koramangala,2.0,2.0,150.0,1225.0,2,12244.897959183674
4th Block Koramangala,9.0,1.5843757375501535,500.0,4500.0,9,11111.111111111111
4th Block Koramangala,3.0,3.0,140.0,1800.0,3,7777.777777777777
4th Block Koramangala,2.0,2.0,97.0,1269.0,2,7643.81402679275
4th Phase JP Nagar,2.0,2.0,38.9,1070.0,2,3635.5140186915887
4th Phase JP Nagar,2.0,2.0,38.0,1080.0,2,3518.5185185185187
4th T block Jayanagar,3.0,2.0,185.0,2401.0,3,7705.12286547272
4th T block Jayanagar,4.0,1.5843757375501535,333.0,3900.0,4,8538.461538461539
4th T block Jayanagar,4.0,1.0,120.0,1550.0,4,7741.935483870968
4th T block Jayanagar,3.0,3.0,220.0,2100.0,3,10476.190476190477
4th T block Jayanagar,3.0,2.0,185.0,2400.0,3,7708.333333333333
5th Block Hbr Layout,2.0,2.0,56.0,1206.0,2,4643.449419568822
5th Block Hbr Layout,2.0,2.0,70.0,1270.0,3,5511.811023622047
5th Block Hbr Layout,2.0,3.0,69.0,1312.0,2,5259.1463414634145
5th Block Hbr Layout,2.0,2.0,48.0,1100.0,2,4363.636363636364
5th Phase JP Nagar,2.0,2.0,60.0,1075.0,2,5581.395348837209
5th Phase JP Nagar,3.0,3.0,52.5,1150.0,2,4565.217391304348
5th Phase JP Nagar,2.0,1.0,62.8,1256.0,2,5000.0
5th Phase JP Nagar,2.0,2.0,63.0,1207.0,2,5219.552609776305
5th Phase JP Nagar,2.0,2.0,100.0,1725.0,3,5797.101449275362
5th Phase JP Nagar,2.0,2.0,60.0,1440.0,2,4166.666666666667
5th Phase JP Nagar,2.0,3.0,100.0,1700.0,3,5882.35294117647
5th Phase JP Nagar,5.0,1.5843757375501535,110.0,2500.0,5,4400.0
5th Phase JP Nagar,1.0,1.0,30.0,600.0,1,5000.0
5th Phase JP Nagar,2.0,2.0,65.0,1390.0,2,4676.258992805755
5th Phase JP Nagar,2.0,1.0,62.8,1256.0,2,5000.0
5th Phase JP Nagar,2.0,0.0,48.0,1000.0,2,4800.0
5th Phase JP Nagar,2.0,1.0,75.0,1350.0,3,5555.555555555556
5th Phase JP Nagar,1.0,1.0,23.5,552.0,1,4257.246376811594
5th Phase JP Nagar,2.0,2.0,51.0,1200.0,2,4250.0
5th Phase JP Nagar,2.0,2.0,57.0,1030.0,2,5533.980582524272
5th Phase JP Nagar,2.0,1.0,68.0,1200.0,2,5666.666666666667
5th Phase JP Nagar,2.0,2.0,61.8,1190.0,2,5193.27731092437
5th Phase JP Nagar,5.0,2.0,170.0,4000.0,5,4250.0
5th Phase JP Nagar,2.0,1.0,53.0,1080.0,2,4907.407407407408
5th Phase JP Nagar,2.0,2.0,54.0,1041.0,2,5187.319884726225
5th Phase JP Nagar,2.0,1.0,42.0,812.0,2,5172.413793103448
5th Phase JP Nagar,2.0,2.0,57.0,1010.0,2,5643.564356435643
5th Phase JP Nagar,2.0,2.0,60.0,1075.0,2,5581.395348837209
6th Phase JP Nagar,2.0,2.0,74.0,1192.0,2,6208.053691275168
6th Phase JP Nagar,2.0,3.0,80.0,1180.0,2,6779.661016949152
6th Phase JP Nagar,4.0,1.5843757375501535,250.0,3245.0,4,7704.160246533128
6th Phase JP Nagar,3.0,3.0,100.0,1645.0,3,6079.0273556231
6th Phase JP Nagar,2.0,2.0,65.0,1140.0,2,5701.754385964912
6th Phase JP Nagar,3.0,1.5843757375501535,200.0,2040.0,3,9803.921568627451
6th Phase JP Nagar,2.0,1.0,63.0,1213.0,2,5193.734542456719
6th Phase JP Nagar,2.0,2.0,60.0,1216.0,2,4934.210526315789
6th Phase JP Nagar,2.0,1.5843757375501535,80.0,1460.0,2,5479.45205479452
6th Phase JP Nagar,3.0,3.0,200.0,2003.0,3,9985.022466300548
6th Phase JP Nagar,3.0,3.0,131.0,1810.0,3,7237.5690607734805
6th Phase JP Nagar,2.0,2.0,135.0,1515.0,3,8910.89108910891
6th Phase JP Nagar,2.0,3.0,75.0,1192.0,2,6291.946308724832
6th Phase JP Nagar,2.0,1.0,88.0,1280.0,2,6875.0
6th block Koramangala,2.0,1.0,110.0,1117.0,2,9847.806624888093
6th block Koramangala,3.0,2.0,400.0,3000.0,3,13333.333333333334
7th Block Jayanagar,3.0,1.0,528.0,3000.0,5,17600.0
7th Block Jayanagar,3.0,0.0,408.0,2400.0,3,17000.0
7th Block Jayanagar,2.0,1.0,293.0,1903.0,3,15396.741986337362
7th Phase JP Nagar,2.0,2.0,72.0,1080.0,2,6666.666666666667
7th Phase JP Nagar,2.0,2.0,93.0,1270.0,2,7322.834645669292
7th Phase JP Nagar,2.0,1.0,100.0,1420.0,3,7042.2535211267605
7th Phase JP Nagar,3.0,1.0,150.0,1850.0,3,8108.108108108108
7th Phase JP Nagar,2.0,1.0,94.0,1245.0,2,7550.2008032128515
7th Phase JP Nagar,2.0,1.0,82.0,1175.0,2,6978.723404255319
7th Phase JP Nagar,2.0,1.0,95.0,1400.0,3,6785.714285714285
7th Phase JP Nagar,3.0,1.0,160.0,2225.0,3,7191.011235955056
7th Phase JP Nagar,2.0,1.0,71.0,1050.0,2,6761.9047619047615
7th Phase JP Nagar,2.0,0.0,46.0,1100.0,2,4181.818181818182
7th Phase JP Nagar,2.0,1.0,50.49,918.0,2,5500.0
7th Phase JP Nagar,2.0,1.0,100.0,1450.0,3,6896.551724137931
7th Phase JP Nagar,2.0,1.0,49.98,1190.0,2,4200.0
7th Phase JP Nagar,2.0,2.0,96.0,1420.0,3,6760.56338028169
7th Phase JP Nagar,3.0,2.0,120.0,1680.0,3,7142.857142857143
7th Phase JP Nagar,2.0,2.0,69.0,980.0,2,7040.816326530612
7th Phase JP Nagar,2.0,2.0,72.0,1180.0,2,6101.6949152542375
7th Phase JP Nagar,3.0,1.0,115.0,1400.0,3,8214.285714285714
7th Phase JP Nagar,2.0,1.0,83.0,1270.0,2,6535.433070866142
7th Phase JP Nagar,4.0,0.0,188.0,2503.0,4,7510.986815821015
7th Phase JP Nagar,3.0,2.0,190.0,2200.0,3,8636.363636363636
7th Phase JP Nagar,2.0,2.0,110.0,1575.0,3,6984.126984126984
7th Phase JP Nagar,3.0,2.0,140.0,1850.0,3,7567.5675675675675
7th Phase JP Nagar,2.0,2.0,120.0,1575.0,3,7619.047619047619
7th Phase JP Nagar,3.0,2.0,150.0,1850.0,3,8108.108108108108
7th Phase JP Nagar,3.0,2.0,120.0,1680.0,3,7142.857142857143
7th Phase JP Nagar,2.0,2.0,82.5,1175.0,2,7021.276595744681
7th Phase JP Nagar,2.0,2.0,90.0,1215.0,2,7407.407407407408
7th Phase JP Nagar,2.0,1.0,75.0,1050.0,2,7142.857142857143
7th Phase JP Nagar,3.0,2.0,89.13,1300.0,3,6856.153846153846
7th Phase JP Nagar,2.0,2.0,73.0,1130.0,2,6460.1769911504425
7th Phase JP Nagar,3.0,2.0,100.0,1450.0,3,6896.551724137931
7th Phase JP Nagar,2.0,1.0,50.0,1050.0,2,4761.9047619047615
7th Phase JP Nagar,2.0,1.0,87.0,1275.0,2,6823.529411764706
7th Phase JP Nagar,3.0,2.0,110.0,1650.0,3,6666.666666666667
7th Phase JP Nagar,2.0,2.0,42.0,850.0,2,4941.176470588235
7th Phase JP Nagar,3.0,2.0,117.0,1680.0,3,6964.285714285715
7th Phase JP Nagar,3.0,1.0,150.0,1850.0,3,8108.108108108108
7th Phase JP Nagar,2.0,2.0,61.33,1236.0,2,4961.974110032363
7th Phase JP Nagar,2.0,2.0,53.0,1000.0,2,5300.0
7th Phase JP Nagar,3.0,2.0,125.0,1680.0,3,7440.476190476191
7th Phase JP Nagar,2.0,2.0,135.0,1675.0,3,8059.701492537313
7th Phase JP Nagar,2.0,1.0,59.0,1187.0,2,4970.513900589722
7th Phase JP Nagar,3.0,2.0,155.0,1850.0,3,8378.378378378378
7th Phase JP Nagar,2.0,1.0,61.0,1000.0,2,6100.0
7th Phase JP Nagar,2.0,2.0,100.0,1460.0,3,6849.315068493151
7th Phase JP Nagar,3.0,3.0,110.0,1650.0,3,6666.666666666667
7th Phase JP Nagar,2.0,2.0,62.5,1200.0,2,5208.333333333333
7th Phase JP Nagar,2.0,1.0,70.65,1000.0,2,7065.000000000001
7th Phase JP Nagar,2.0,2.0,75.0,1080.0,2,6944.444444444444
7th Phase JP Nagar,3.0,3.0,125.0,1680.0,3,7440.476190476191
7th Phase JP Nagar,2.0,1.0,97.0,1460.0,3,6643.835616438356
7th Phase JP Nagar,2.0,2.0,65.0,1120.0,2,5803.571428571428
7th Phase JP Nagar,3.0,1.0,60.0,1100.0,2,5454.545454545455
7th Phase JP Nagar,3.0,3.0,120.0,1790.0,3,6703.91061452514
7th Phase JP Nagar,3.0,2.0,117.0,1680.0,3,6964.285714285715
7th Phase JP Nagar,2.0,1.0,77.0,1050.0,2,7333.333333333333
7th Phase JP Nagar,2.0,1.0,75.0,1050.0,2,7142.857142857143
7th Phase JP Nagar,2.0,1.0,75.0,1040.0,2,7211.538461538462
7th Phase JP Nagar,2.0,1.0,95.0,1400.0,3,6785.714285714285
7th Phase JP Nagar,3.0,2.0,130.0,1800.0,3,7222.222222222223
7th Phase JP Nagar,2.0,0.0,68.0,1050.0,2,6476.190476190476
7th Phase JP Nagar,2.0,2.0,60.0,1000.0,2,6000.0
7th Phase JP Nagar,3.0,2.0,125.0,1680.0,3,7440.476190476191
7th Phase JP Nagar,2.0,1.0,77.47,1050.0,2,7378.0952380952385
7th Phase JP Nagar,2.0,1.0,80.0,1270.0,2,6299.212598425197
7th Phase JP Nagar,3.0,2.0,122.0,1680.0,3,7261.9047619047615
7th Phase JP Nagar,2.0,2.0,85.0,1130.0,2,7522.123893805309
7th Phase JP Nagar,3.0,3.0,130.0,1680.0,3,7738.0952380952385
7th Phase JP Nagar,2.0,1.0,77.44,980.0,2,7902.040816326531
7th Phase JP Nagar,3.0,2.0,112.0,1680.0,3,6666.666666666667
7th Phase JP Nagar,3.0,2.0,150.0,2095.0,3,7159.904534606205
7th Phase JP Nagar,3.0,1.0,145.0,1976.0,3,7338.056680161943
7th Phase JP Nagar,2.0,2.0,110.0,1600.0,3,6875.0
7th Phase JP Nagar,3.0,2.0,118.0,1765.0,3,6685.552407932011
7th Phase JP Nagar,2.0,2.0,88.0,1275.0,3,6901.9607843137255
7th Phase JP Nagar,2.0,1.0,102.0,1450.0,3,7034.482758620689
7th Phase JP Nagar,2.0,2.0,110.0,1575.0,3,6984.126984126984
7th Phase JP Nagar,1.0,2.0,47.0,750.0,1,6266.666666666667
7th Phase JP Nagar,2.0,2.0,50.0,990.0,2,5050.50505050505
7th Phase JP Nagar,1.0,1.0,60.0,1000.0,1,6000.0
7th Phase JP Nagar,2.0,1.0,102.0,1430.0,3,7132.867132867133
7th Phase JP Nagar,2.0,1.0,60.0,1128.0,2,5319.148936170212
7th Phase JP Nagar,2.0,1.0,57.0,1140.0,2,5000.0
7th Phase JP Nagar,3.0,2.0,90.0,1420.0,3,6338.028169014085
7th Phase JP Nagar,2.0,1.0,108.0,1530.0,2,7058.823529411765
8th Block Jayanagar,2.0,2.0,110.0,1100.0,2,10000.0
8th Phase JP Nagar,2.0,0.0,54.005,1073.5,2,5030.740568234746
8th Phase JP Nagar,2.0,1.0,42.47,1062.0,2,3999.0583804143125
8th Phase JP Nagar,3.0,2.0,73.31,1455.0,3,5038.487972508591
8th Phase JP Nagar,2.0,1.0,43.91,1098.0,2,3999.089253187614
8th Phase JP Nagar,3.0,1.0,80.0,1800.0,3,4444.444444444444
8th Phase JP Nagar,4.0,2.0,130.0,2700.0,4,4814.814814814815
8th Phase JP Nagar,2.0,2.0,38.0,1080.0,2,3518.5185185185187
8th Phase JP Nagar,2.0,2.0,34.5,1059.0,2,3257.790368271955
8th Phase JP Nagar,2.0,2.0,35.0,1080.0,2,3240.740740740741
8th Phase JP Nagar,2.0,1.0,42.47,1062.0,2,3999.0583804143125
8th Phase JP Nagar,1.0,1.0,31.0,500.0,1,6200.0
8th Phase JP Nagar,2.0,2.0,35.0,1100.0,2,3181.818181818182
8th Phase JP Nagar,4.0,3.0,92.0,2100.0,4,4380.952380952381
8th Phase JP Nagar,2.0,1.0,39.33,1035.0,2,3800.0
8th Phase JP Nagar,2.0,1.0,40.9,909.0,2,4499.4499449945
8th Phase JP Nagar,3.0,0.0,72.02,1431.5,3,5031.086273140063
8th Phase JP Nagar,4.0,1.0,90.0,1900.0,3,4736.8421052631575
8th Phase JP Nagar,1.0,1.0,30.0,500.0,1,6000.0
8th Phase JP Nagar,2.0,2.0,36.94,1125.0,2,3283.5555555555557
8th Phase JP Nagar,2.0,3.0,35.0,1100.0,2,3181.818181818182
8th Phase JP Nagar,2.0,1.0,43.55,1089.0,2,3999.0817263544536
8th Phase JP Nagar,2.0,2.0,65.0,1605.0,3,4049.8442367601247
8th Phase JP Nagar,2.0,2.0,83.0,1504.0,3,5518.617021276596
8th Phase JP Nagar,4.0,2.0,115.0,2600.0,4,4423.076923076923
8th Phase JP Nagar,2.0,1.0,43.55,1089.0,2,3999.0817263544536
8th Phase JP Nagar,2.0,3.0,62.0,1513.0,2,4097.818902842036
8th Phase JP Nagar,2.0,1.0,59.0,1298.0,2,4545.454545454545
8th Phase JP Nagar,2.0,0.0,44.0,1006.0,2,4373.75745526839
8th Phase JP Nagar,2.0,1.0,59.0,1245.0,2,4738.955823293173
8th Phase JP Nagar,2.0,3.0,80.0,1510.0,2,5298.013245033113
8th Phase JP Nagar,3.0,2.0,165.0,3300.0,3,5000.0
8th Phase JP Nagar,2.0,1.0,48.0,1046.0,2,4588.910133843212
8th Phase JP Nagar,3.0,2.0,80.0,1408.0,3,5681.818181818182
8th block Koramangala,3.0,2.0,300.0,1846.0,3,16251.354279523293
8th block Koramangala,1.0,0.0,233.0,1410.0,2,16524.822695035462
8th block Koramangala,2.0,1.0,135.0,1165.0,2,11587.982832618025
8th block Koramangala,3.0,2.0,290.0,2400.0,3,12083.333333333334
9th Block Jayanagar,1.0,0.0,150.0,700.0,1,21428.571428571428
9th Block Jayanagar,4.0,1.0,240.0,1440.0,4,16666.666666666668
9th Phase JP Nagar,2.0,1.0,50.0,1005.0,2,4975.124378109453
9th Phase JP Nagar,2.0,1.0,45.0,1035.0,2,4347.826086956522
9th Phase JP Nagar,4.0,3.0,290.0,5000.0,4,5800.0
9th Phase JP Nagar,2.0,1.0,56.0,1164.0,2,4810.996563573884
9th Phase JP Nagar,2.0,1.0,42.0,1005.0,2,4179.104477611941
9th Phase JP Nagar,2.0,1.0,50.0,1127.0,2,4436.557231588287
9th Phase JP Nagar,2.0,1.0,43.0,1005.0,2,4278.606965174129
9th Phase JP Nagar,2.0,0.0,37.0,835.0,2,4431.137724550898
9th Phase JP Nagar,2.0,2.0,39.0,1050.0,2,3714.285714285714
9th Phase JP Nagar,2.0,2.0,71.0,1466.0,2,4843.110504774898
9th Phase JP Nagar,2.0,1.5843757375501535,93.0,1890.0,3,4920.6349206349205
9th Phase JP Nagar,2.0,1.0,60.0,1079.0,2,5560.704355885079
9th Phase JP Nagar,2.0,1.0,80.0,1480.0,2,5405.405405405405
9th Phase JP Nagar,2.0,1.0,52.36,1073.0,2,4879.77632805219
9th Phase JP Nagar,2.0,2.0,88.0,1719.3,3,5118.362124120282
9th Phase JP Nagar,3.0,2.0,88.0,1780.0,3,4943.820224719101
9th Phase JP Nagar,2.0,2.0,45.0,890.0,2,5056.179775280899
9th Phase JP Nagar,2.0,2.0,69.0,1331.95,2,5180.374638687638
A Narayanapura,2.0,1.0,35.0,600.0,1,5833.333333333333
A Narayanapura,2.0,0.0,85.0,1500.0,1,5666.666666666667
AECS Layout,2.0,3.0,45.0,1100.0,2,4090.909090909091
AECS Layout,2.0,1.0,42.0,1028.0,2,4085.603112840467
AECS Layout,2.0,2.0,65.0,1199.0,2,5421.184320266889
AECS Layout,2.0,2.0,55.0,1080.0,2,5092.592592592592
AECS Layout,2.0,2.0,64.0,1123.0,2,5699.020480854853
AECS Layout,2.0,1.0,60.0,1308.0,2,4587.155963302752
AECS Layout,2.0,1.0,55.0,1005.0,2,5472.636815920398
AGS Layout,2.0,2.0,85.0,1450.0,3,5862.068965517241
AGS Layout,2.0,1.0,46.79,1040.0,2,4499.038461538462
AGS Layout,3.0,0.0,110.0,1936.0,3,5681.818181818182
AGS Layout,2.0,1.0,48.38,1075.0,2,4500.46511627907
AMS Layout,2.0,2.0,80.0,1650.0,3,4848.484848484848
Abbaiah Reddy Layout,2.0,3.0,50.0,1310.0,3,3816.793893129771
Abbaiah Reddy Layout,2.0,1.0,38.45,1100.0,2,3495.454545454546
Abbaiah Reddy Layout,2.0,1.0,38.49,1100.0,2,3499.090909090909
Abbaiah Reddy Layout,2.0,2.0,41.0,1190.0,2,3445.378151260504
Abbaiah Reddy Layout,2.0,2.0,38.5,1100.0,2,3500.0
Abbigere,2.0,1.0,40.39,985.0,2,4100.507614213198
Abbigere,2.0,2.0,30.0,765.0,1,3921.5686274509803
Abbigere,2.0,1.0,35.0,880.0,2,3977.2727272727275
Abbigere,2.0,1.0,32.54,795.0,2,4093.0817610062895
Abbigere,2.0,1.0,39.59,1005.0,2,3939.303482587065
Abbigere,2.0,1.0,41.82,1020.0,2,4100.0
Abbigere,2.0,1.0,40.39,985.0,2,4100.507614213198
Abbigere,6.0,0.0,81.0,2500.0,6,3240.0
Abbigere,2.0,1.0,32.54,795.0,2,4093.0817610062895
Abbigere,2.0,1.0,46.33,1130.0,2,4100.0
Abbigere,1.0,1.0,32.6,795.0,2,4100.62893081761
Abbigere,2.0,1.0,38.92,985.0,2,3951.269035532995
Abbigere,2.0,1.0,41.0,1000.0,2,4100.0
Abbigere,2.0,1.0,40.8,995.0,2,4100.5025125628135
Abbigere,2.0,1.0,40.8,1020.0,2,3999.9999999999995
Agrahara Dasarahalli,1.0,0.0,72.0,800.0,1,9000.0
Agrahara Dasarahalli,1.0,0.0,120.0,1350.0,3,8888.888888888889
Aishwarya Crystal Layout,3.0,1.0,113.0,2250.0,3,5022.222222222223
Aishwarya Crystal Layout,2.0,0.0,51.0,1053.0,2,4843.304843304843
Akshaya Nagar,2.0,3.0,57.0,1388.0,2,4106.628242074928
Akshaya Nagar,2.0,1.0,54.0,1070.0,2,5046.728971962617
Akshaya Nagar,2.0,1.5843757375501535,58.0,1280.0,2,4531.25
Akshaya Nagar,3.0,3.0,85.1,1662.0,3,5120.336943441636
Akshaya Nagar,3.0,2.0,120.0,1897.0,3,6325.77754348972
Akshaya Nagar,2.0,2.0,75.0,1410.0,3,5319.148936170212
Akshaya Nagar,2.0,2.0,85.0,1360.0,3,6250.0
Akshaya Nagar,2.0,2.0,80.0,1410.0,3,5673.758865248227
Akshaya Nagar,3.0,2.0,85.0,1662.0,3,5114.320096269555
Akshaya Nagar,3.0,2.0,85.5,1662.0,3,5144.404332129964
Akshaya Nagar,2.0,1.0,60.0,1280.0,2,4687.5
Akshaya Nagar,3.0,1.5843757375501535,95.0,1666.0,3,5702.280912364946
Akshaya Nagar,3.0,1.5843757375501535,90.0,1575.0,3,5714.285714285715
Akshaya Nagar,2.0,2.0,75.0,1430.0,3,5244.755244755244
Akshaya Nagar,2.0,3.0,73.0,1419.0,3,5144.46793516561
Akshaya Nagar,2.0,1.0,60.0,1280.0,2,4687.5
Akshaya Nagar,2.0,1.0,50.0,1200.0,2,4166.666666666667
Akshaya Nagar,2.0,1.0,60.0,1092.0,2,5494.505494505494
Akshaya Nagar,3.0,2.0,85.0,1690.0,3,5029.585798816568
Akshaya Nagar,4.0,2.0,93.0,1897.0,3,4902.477596204533
Akshaya Nagar,3.0,3.0,98.0,1884.0,3,5201.698513800425
Akshaya Nagar,2.0,2.0,68.8,1314.0,2,5235.920852359209
Akshaya Nagar,3.0,2.0,85.0,1690.0,3,5029.585798816568
Akshaya Nagar,2.0,3.0,67.0,1265.0,2,5296.442687747036
Akshaya Nagar,2.0,1.0,55.0,1126.0,2,4884.547069271758
Akshaya Nagar,3.0,1.5843757375501535,90.0,1662.0,3,5415.162454873646
Akshaya Nagar,2.0,2.0,75.0,1420.0,3,5281.69014084507
Akshaya Nagar,2.0,3.0,88.0,1412.0,3,6232.294617563739
Akshaya Nagar,3.0,3.0,84.0,1434.0,3,5857.740585774059
Akshaya Nagar,4.0,2.0,100.0,1890.0,3,5291.005291005291
Akshaya Nagar,2.0,3.0,87.0,1419.0,3,6131.0782241014795
Akshaya Nagar,2.0,1.0,54.0,1300.0,2,4153.846153846154
Akshaya Nagar,3.0,2.0,85.0,1690.0,3,5029.585798816568
Akshaya Nagar,2.0,1.0,52.0,1113.0,2,4672.057502246182
Akshaya Nagar,4.0,2.0,95.0,1820.0,3,5219.780219780219
Akshaya Nagar,2.0,2.0,48.0,1100.0,2,4363.636363636364
Akshaya Nagar,3.0,2.0,102.0,1896.0,3,5379.7468354430375
Akshaya Nagar,2.0,2.0,66.0,1300.0,2,5076.923076923077
Akshaya Nagar,2.0,0.0,68.0,1225.0,2,5551.0204081632655
Akshaya Nagar,2.0,1.0,51.0,1179.0,2,4325.699745547074
